Station;Polluant;Mesure;Unité;"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Sud lyonnais / Ternay";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;37;34;25;25;24;18;14;17;19;18;19;23
"Sud lyonnais / Ternay";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;22;27;9;8;4;3;2;2;1;1;3;8
"Sud lyonnais / Ternay";Ozone;Ozone;microg/m3;24;23;-;-;-;63;77;55;67;66;58;23
"Sud lyonnais / Ternay";"Particules PM10";"Particules PM10";microg/m3;27;32;21;24;28;16;14;14;18;15;18;18
