"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"sud lyonnais / Saint-Fons";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"41";"39";"31";"33";"35";"28";"21";"20";"21";"21";"27";"33"
"sud lyonnais / Saint-Fons";"Dioxyde soufre";"Dioxyde de soufre";"microg/m3";"3";"2";"1";"2";"2";"1";"0";"0";"0";"1";"1";"0"
"sud lyonnais / Saint-Fons";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"42";"51";"17";"19";"11";"6";"4";"4";"3";"3";"5";"17"
