"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Est lyonnais / Saint Exupéry";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"21";"17";"17";"17";"15";"9";"8";"7";"8";"10";"12";"15"
"Est lyonnais / Saint Exupéry";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"8";"10";"3";"3";"2";"1";"0";"0";"1";"1";"1";"4"
"Est lyonnais / Saint Exupéry";"Ozone";"Ozone";"microg/m3";"22";"32";"35";"-";"51";"57";"-";"66";"61";"61";"59";"38"
