"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Sud lyonnais / Feyzin ZI";"Benzène";"Benzène";"microg/m3";"2,89";"2,34";"2,06";"2";"2,56";"2,15";"1,82";"1,52";"2,17";"2,57";"1,53";"1,81"
"Sud lyonnais / Feyzin ZI";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"37";"33";"29";"31";"30";"24";"20";"19";"26";"23";"26";"30"
"Sud lyonnais / Feyzin ZI";"Dioxyde soufre";"Dioxyde de soufre";"microg/m3";"4";"1";"1";"3";"4";"2";"3";"2";"6";"5";"5";"2"
"Sud lyonnais / Feyzin ZI";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"34";"47";"17";"16";"9";"5";"4";"3";"3";"3";"5";"14"
"Sud lyonnais / Feyzin ZI";"Particules PM10";"Particules PM10";"microg/m3";"29";"33";"21";"24";"27";"17";"14";"14";"18";"16";"19";"17"
