Station;Polluant;Mesure;Unité;"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Est lyonnais / Genas";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;40;36;32;32;34;26;19;19;23;23;26;27
"Est lyonnais / Genas";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;45;52;21;19;14;9;7;6;6;5;8;16
"Est lyonnais / Genas";Ozone;Ozone;microg/m3;17;29;28;34;44;52;60;53;61;61;55;24
"Est lyonnais / Genas";"Particules PM10";"Particules PM10";microg/m3;26;31;20;23;27;17;13;12;16;15;19;17
