"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Haut-Beaujolais";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"6";"8";"7";"5";"5";"4";"3";"1";"2";"2";"4";"6"
"Haut-Beaujolais";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Haut-Beaujolais";"Oxydes d'azote";"Oxydes d'azote";"microg/m3";"7";"10";"8";"7";"6";"4";"3";"1";"2";"3";"4";"7"
"Haut-Beaujolais";"Ozone";"Ozone";"microg/m3";"52";"42";"44";"54";"63";"70";"77";"62";"70";"78";"76";"45"
