Station;Polluant;Mesure;Unité;"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;59;70;63;60;58;59;67;59;69;59;56;53
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;63;79;60;44;32;31;36;32;44;41;41;57
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Particules PM10";"Particules PM10";microg/m3;33;38;26;25;28;19;20;17;23;23;25;23
