Station;Polluant;Mesure;Unité;"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Est lyonnais / Vaulx en Velin";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;33;41;33;30;26;17;16;13;12;13;17;19
"Est lyonnais / Vaulx en Velin";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;40;47;17;15;7;4;5;4;3;2;4;7
"Est lyonnais / Vaulx en Velin";Ozone;Ozone;microg/m3;15;17;24;32;43;55;61;55;66;58;54;23
"Est lyonnais / Vaulx en Velin";"Particules PM10";"Particules PM10";microg/m3;28;34;21;24;27;15;13;12;16;15;17;16
"Est lyonnais / Vaulx en Velin";"Particules PM2,5";"Particules PM2.5";microg/m3;17;20;12;13;16;5;-;8;11;9;11;12
