Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"Sud lyonnais / Feyzin ZI";Benzène;Benzène;microg/m3;2,88;4,89;3,07;2,86;2,69
"Sud lyonnais / Feyzin ZI";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;31;29;28;25;28
"Sud lyonnais / Feyzin ZI";"Dioxyde soufre";"Dioxyde de soufre";microg/m3;3;4;4;3;3
"Sud lyonnais / Feyzin ZI";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;17;14;16;15;17
"Sud lyonnais / Feyzin ZI";"Particules PM10";"Particules PM10";microg/m3;30;25;25;23;26
