"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"Est lyonnais / Saint Exupéry";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"17";"15";"15";"14";"14"
"Est lyonnais / Saint Exupéry";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"5";"3";"4";"4";"3"
"Est lyonnais / Saint Exupéry";"Ozone";"Ozone";"microg/m3";"51";"48";"51";"52";"53"
