"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"Sud lyonnais / Ternay";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"29";"25";"24";"23";"28"
"Sud lyonnais / Ternay";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"15";"10";"10";"8";"10"
"Sud lyonnais / Ternay";"Ozone";"Ozone";"microg/m3";"42";"41";"48";"49";"-"
"Sud lyonnais / Ternay";"Particules PM10";"Particules PM10";"microg/m3";"28";"23";"24";"21";"25"
