"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"A7 Sud lyonnais";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"84";"77";"75";"72";"73"
"A7 Sud lyonnais";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"98";"92";"90";"80";"78"
"A7 Sud lyonnais";"Particules PM10";"Particules PM10";"microg/m3";"44";"39";"38";"30";"33"
"A7 Sud lyonnais";"Particules PM2,5";"Particules PM2.5";"microg/m3";"30";"24";"23";"17";"22"
