Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"sud lyonnais / Saint-Fons";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;35;29;30;30;30
"sud lyonnais / Saint-Fons";"Dioxyde soufre";"Dioxyde de soufre";microg/m3;2;1;1;1;1
"sud lyonnais / Saint-Fons";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;22;16;17;16;17
