Station;Polluant;Mesure;Unité;"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Lyon Trafic Jaurès";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;-;-;48;47;43;36;33;31;32;34;41;37
"Lyon Trafic Jaurès";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;-;-;34;31;20;13;11;10;6;6;11;21
"Lyon Trafic Jaurès";"Particules PM10";"Particules PM10";microg/m3;-;-;25;26;30;19;19;16;19;19;26;22
