"﻿Station";"Polluant";"Mesure";"Unité";"novembre 2015";"décembre 2015";"janvier 2016";"Février 2016";"mars 2016";"avril 2016";"mai 2016";"juin 2016";"juillet 2016";"août 2016";"septembre 2016";"octobre 2016"
"Lyon Gerland";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"48";"49";"38";"37";"33";"27";"23";"22";"23";"26";"33";"33"
"Lyon Gerland";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"56";"76";"23";"21";"12";"7";"6";"6";"3";"3";"8";"16"
"Lyon Gerland";"Ozone";"Ozone";"microg/m3";"12";"12";"22";"30";"38";"50";"57";"49";"58";"52";"51";"21"
"Lyon Gerland";"Particules PM10";"Particules PM10";"microg/m3";"35";"42";"25";"30";"32";"19";"17";"15";"19";"17";"23";"18"
