Station;Polluant;Mesure;Unité;"30/10/2016 2:00";"31/10/2016 1:00";"01/11/2016 1:00";"02/11/2016 1:00";"03/11/2016 1:00";"04/11/2016 1:00";"05/11/2016 1:00";"06/11/2016 1:00";"07/11/2016 1:00";"08/11/2016 1:00";"09/11/2016 1:00";"10/11/2016 1:00";"11/11/2016 1:00";"12/11/2016 1:00";"13/11/2016 1:00";"14/11/2016 1:00";"15/11/2016 1:00";"16/11/2016 1:00";"17/11/2016 1:00";"18/11/2016 1:00";"19/11/2016 1:00";"20/11/2016 1:00";"21/11/2016 1:00";"22/11/2016 1:00";"23/11/2016 1:00";"24/11/2016 1:00";"25/11/2016 1:00";"26/11/2016 1:00";"27/11/2016 1:00";"28/11/2016 1:00"
Haut-Beaujolais;"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;5;9;8;6;6;8;4;4;6;8;6;4;3;8;8;6;9;5;9;4;4;3;2;6;8;9;19;15;7;8
Haut-Beaujolais;"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;1;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;1;1;2;1;0;0;0;0;1;0;5;1;1;0
Haut-Beaujolais;"Oxydes d'azote";"Oxydes d'azote";microg/m3;6;10;10;7;7;10;5;4;7;9;7;5;3;9;10;7;10;7;11;5;5;4;3;6;10;10;27;16;9;9
Haut-Beaujolais;Ozone;Ozone;microg/m3;28;17;36;47;47;48;51;56;52;33;45;60;59;35;26;42;34;32;26;52;62;73;76;56;29;40;18;27;30;-
