"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"Lyon Gerland";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"38";"33";"36";"36";"34"
"Lyon Gerland";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"22";"17";"22";"20";"22"
"Lyon Gerland";"Ozone";"Ozone";"microg/m3";"41";"42";"40";"42";"46"
"Lyon Gerland";"Particules PM10";"Particules PM10";"microg/m3";"31";"25";"26";"23";"27"
