Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"Villefranche Village";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;32;28;29;30;30
"Villefranche Village";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;20;15;16;16;18
"Villefranche Village";Ozone;Ozone;microg/m3;38;-;36;38;40
"Villefranche Village";"Particules PM10";"Particules PM10";microg/m3;30;26;23;21;22
"Villefranche Village";"Particules PM2,5";"Particules PM2.5";microg/m3;-;19;18;13;15
