"﻿Station";"Polluant";"Mesure";"Unité";"2011";"2012";"2013";"2014";"2015"
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Dioxyde d'azote";"Dioxyde d'azote";"microg/m3";"60";"55";"46";"-";"55"
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Monoxyde d'azote";"Monoxyde d'azote";"microg/m3";"48";"42";"27";"-";"37"
"Lyon - Tunnel Croix-Rousse - Sortie Rhône";"Particules PM10";"Particules PM10";"microg/m3";"36";"30";"36";"26";"27"
