Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"Lyon Périphérique";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;-;-;-;-;78
"Lyon Périphérique";"Monoxyde carbone";"Monoxyde carbone";microg/m3;-;-;-;-;349
"Lyon Périphérique";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;-;-;-;-;83
"Lyon Périphérique";"Particules PM10";"Particules PM10";microg/m3;-;-;-;-;30
