Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"Lyon Trafic Jaurès";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;-;-;-;-;-
"Lyon Trafic Jaurès";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;-;-;-;-;-
"Lyon Trafic Jaurès";"Particules PM10";"Particules PM10";microg/m3;-;-;-;-;-
