Station;Polluant;Mesure;Unité;2011;2012;2013;2014;2015
"Lyon Saint-Just";"Dioxyde d'azote";"Dioxyde d'azote";microg/m3;35;30;32;30;31
"Lyon Saint-Just";"Monoxyde d'azote";"Monoxyde d'azote";microg/m3;16;11;14;13;16
"Lyon Saint-Just";Ozone;Ozone;microg/m3;46;48;45;46;51
